2022-03-25 15:27:14,837  [INFO]  pspnet_res34 Train Start  (train_2022.py:  29)
2022-03-25 15:35:46,444  [INFO]  Epoch: 1  Loss: 0.22699,  Dice-Coef:  0.77301  (train_2022.py:  55)
2022-03-25 15:38:53,870  [INFO]  Epoch: 1  Loss: 0.23486,  Dice-Coef:  0.76514  (train_2022.py:  81)
2022-03-25 15:47:49,765  [INFO]  Epoch: 2  Loss: 0.11209,  Dice-Coef:  0.88791  (train_2022.py:  55)
2022-03-25 15:51:13,088  [INFO]  Epoch: 2  Loss: 0.35406,  Dice-Coef:  0.64594  (train_2022.py:  81)
2022-03-25 16:00:24,203  [INFO]  Epoch: 3  Loss: 0.09957,  Dice-Coef:  0.90043  (train_2022.py:  55)
2022-03-25 16:03:45,319  [INFO]  Epoch: 3  Loss: 0.26758,  Dice-Coef:  0.73242  (train_2022.py:  81)
2022-03-25 16:12:54,707  [INFO]  Epoch: 4  Loss: 0.09177,  Dice-Coef:  0.90823  (train_2022.py:  55)
2022-03-25 16:16:16,540  [INFO]  Epoch: 4  Loss: 0.24899,  Dice-Coef:  0.75101  (train_2022.py:  81)
2022-03-25 16:25:22,078  [INFO]  Epoch: 5  Loss: 0.08902,  Dice-Coef:  0.91098  (train_2022.py:  55)
2022-03-25 16:28:40,729  [INFO]  Epoch: 5  Loss: 0.24180,  Dice-Coef:  0.75820  (train_2022.py:  81)
2022-03-25 16:36:59,076  [INFO]  Epoch: 6  Loss: 0.08674,  Dice-Coef:  0.91326  (train_2022.py:  55)
2022-03-25 16:40:03,902  [INFO]  Epoch: 6  Loss: 0.25024,  Dice-Coef:  0.74976  (train_2022.py:  81)
2022-03-25 16:48:20,889  [INFO]  Epoch: 7  Loss: 0.08462,  Dice-Coef:  0.91538  (train_2022.py:  55)
2022-03-25 16:51:25,763  [INFO]  Epoch: 7  Loss: 0.22922,  Dice-Coef:  0.77078  (train_2022.py:  81)
2022-03-25 16:59:43,518  [INFO]  Epoch: 8  Loss: 0.08232,  Dice-Coef:  0.91768  (train_2022.py:  55)
2022-03-25 17:02:48,371  [INFO]  Epoch: 8  Loss: 0.21010,  Dice-Coef:  0.78990  (train_2022.py:  81)
2022-03-25 17:11:08,333  [INFO]  Epoch: 9  Loss: 0.08229,  Dice-Coef:  0.91771  (train_2022.py:  55)
2022-03-25 17:14:19,891  [INFO]  Epoch: 9  Loss: 0.21872,  Dice-Coef:  0.78128  (train_2022.py:  81)
2022-03-25 17:22:54,098  [INFO]  Epoch: 10  Loss: 0.08130,  Dice-Coef:  0.91870  (train_2022.py:  55)
2022-03-25 17:25:58,568  [INFO]  Epoch: 10  Loss: 0.23158,  Dice-Coef:  0.76842  (train_2022.py:  81)
2022-03-25 17:34:15,421  [INFO]  Epoch: 11  Loss: 0.08037,  Dice-Coef:  0.91963  (train_2022.py:  55)
2022-03-25 17:37:19,678  [INFO]  Epoch: 11  Loss: 0.21147,  Dice-Coef:  0.78853  (train_2022.py:  81)
2022-03-25 17:45:36,648  [INFO]  Epoch: 12  Loss: 0.08002,  Dice-Coef:  0.91998  (train_2022.py:  55)
2022-03-25 17:48:41,144  [INFO]  Epoch: 12  Loss: 0.19633,  Dice-Coef:  0.80367  (train_2022.py:  81)
2022-03-25 17:56:58,910  [INFO]  Epoch: 13  Loss: 0.07918,  Dice-Coef:  0.92082  (train_2022.py:  55)
2022-03-25 18:00:03,573  [INFO]  Epoch: 13  Loss: 0.20390,  Dice-Coef:  0.79610  (train_2022.py:  81)
2022-03-25 18:08:20,004  [INFO]  Epoch: 14  Loss: 0.07983,  Dice-Coef:  0.92017  (train_2022.py:  55)
2022-03-25 18:11:24,399  [INFO]  Epoch: 14  Loss: 0.19493,  Dice-Coef:  0.80507  (train_2022.py:  81)
2022-03-25 18:19:41,946  [INFO]  Epoch: 15  Loss: 0.07834,  Dice-Coef:  0.92166  (train_2022.py:  55)
2022-03-25 18:22:46,290  [INFO]  Epoch: 15  Loss: 0.20019,  Dice-Coef:  0.79981  (train_2022.py:  81)
2022-03-25 18:31:02,835  [INFO]  Epoch: 16  Loss: 0.07781,  Dice-Coef:  0.92219  (train_2022.py:  55)
2022-03-25 18:34:07,248  [INFO]  Epoch: 16  Loss: 0.20195,  Dice-Coef:  0.79805  (train_2022.py:  81)
2022-03-25 18:42:23,637  [INFO]  Epoch: 17  Loss: 0.07786,  Dice-Coef:  0.92214  (train_2022.py:  55)
2022-03-25 18:45:28,036  [INFO]  Epoch: 17  Loss: 0.20144,  Dice-Coef:  0.79856  (train_2022.py:  81)
2022-03-25 18:53:44,502  [INFO]  Epoch: 18  Loss: 0.07795,  Dice-Coef:  0.92205  (train_2022.py:  55)
2022-03-25 18:56:49,056  [INFO]  Epoch: 18  Loss: 0.20032,  Dice-Coef:  0.79968  (train_2022.py:  81)
2022-03-25 19:05:05,635  [INFO]  Epoch: 19  Loss: 0.07786,  Dice-Coef:  0.92214  (train_2022.py:  55)
2022-03-25 19:08:09,970  [INFO]  Epoch: 19  Loss: 0.19694,  Dice-Coef:  0.80306  (train_2022.py:  81)
2022-03-25 19:16:26,621  [INFO]  Epoch: 20  Loss: 0.07788,  Dice-Coef:  0.92212  (train_2022.py:  55)
2022-03-25 19:19:30,967  [INFO]  Epoch: 20  Loss: 0.20167,  Dice-Coef:  0.79833  (train_2022.py:  81)
2022-03-25 19:27:47,648  [INFO]  Epoch: 21  Loss: 0.07727,  Dice-Coef:  0.92273  (train_2022.py:  55)
